Building models/googlenet.lua model 
	
Operations estimation for image size: 256 x 256	

-----------------------------------------------------------------------------------------------	
S.No. Module Name                       Input Resolution     Neurons             Ops     % Ops	
  140 nn.SpatialConvolution              1 x 832 x 8 x 8       53248        27279360    0.6549	
  141 nn.ReLU                            1 x 256 x 8 x 8       16384           16384    0.0004	
  142 nn.Sequential                      1 x 832 x 8 x 8       53248               0    0.0000	
  143 nn.SpatialConvolution              1 x 832 x 8 x 8       53248        17049600    0.4093	
  144 nn.ReLU                            1 x 160 x 8 x 8       10240           10240    0.0002	
  145 nn.SpatialConvolution              1 x 160 x 8 x 8       10240        59002880    1.4166	
  146 nn.ReLU                            1 x 320 x 8 x 8       20480           20480    0.0005	
  147 nn.Sequential                      1 x 832 x 8 x 8       53248               0    0.0000	
  148 nn.SpatialConvolution              1 x 832 x 8 x 8       53248         3409920    0.0819	
  149 nn.ReLU                             1 x 32 x 8 x 8        2048            2048    0.0000	
  150 nn.SpatialConvolution               1 x 32 x 8 x 8        2048        13115392    0.3149	
  151 nn.ReLU                            1 x 128 x 8 x 8        8192            8192    0.0002	
  152 nn.Sequential                      1 x 832 x 8 x 8       53248               0    0.0000	
  153 nn.SpatialMaxPooling               1 x 832 x 8 x 8       53248          479232    0.0115	
  154 nn.SpatialConvolution              1 x 832 x 8 x 8       53248        13639680    0.3275	
  155 nn.ReLU                            1 x 128 x 8 x 8        8192            8192    0.0002	
  156 nn.Concat                          1 x 832 x 8 x 8       53248               0    0.0000	
  157 nn.Sequential                      1 x 832 x 8 x 8       53248               0    0.0000	
  158 nn.SpatialConvolution              1 x 832 x 8 x 8       53248        40919040    0.9824	
  159 nn.ReLU                            1 x 384 x 8 x 8       24576           24576    0.0006	
  160 nn.Sequential                      1 x 832 x 8 x 8       53248               0    0.0000	
  161 nn.SpatialConvolution              1 x 832 x 8 x 8       53248        20459520    0.4912	
  162 nn.ReLU                            1 x 192 x 8 x 8       12288           12288    0.0003	
  163 nn.SpatialConvolution              1 x 192 x 8 x 8       12288        84959232    2.0398	
  164 nn.ReLU                            1 x 384 x 8 x 8       24576           24576    0.0006	
  165 nn.Sequential                      1 x 832 x 8 x 8       53248               0    0.0000	
  166 nn.SpatialConvolution              1 x 832 x 8 x 8       53248         5114880    0.1228	
  167 nn.ReLU                             1 x 48 x 8 x 8        3072            3072    0.0001	
  168 nn.SpatialConvolution               1 x 48 x 8 x 8        3072        19668992    0.4722	
  169 nn.ReLU                            1 x 128 x 8 x 8        8192            8192    0.0002	
  170 nn.Sequential                      1 x 832 x 8 x 8       53248               0    0.0000	
